datetime,open,high,low,close,volume,symbol
2025-07-21 15:59:00,212.35001,212.56,212.28,212.53999,890116.0,AAPL
2025-07-21 15:58:00,212.25999,212.35001,212.21,212.35001,222906.0,AAPL
2025-07-21 15:57:00,212.285,212.345,212.23,212.265,174803.0,AAPL
2025-07-21 15:56:00,212.2,212.32001,212.14,212.285,184871.0,AAPL
2025-07-21 15:55:00,212.2,212.25,212.0793,212.19859,188359.0,AAPL
2025-07-21 15:54:00,212.32001,212.34,212.070007,212.2,190117.0,AAPL
2025-07-21 15:53:00,212.3,212.405,212.27499,212.325,95913.0,AAPL
2025-07-21 15:52:00,212.355,212.42,212.285,212.31,91985.0,AAPL
2025-07-21 15:51:00,212.35001,212.47501,212.33,212.36,172273.0,AAPL
2025-07-21 15:50:00,212.17999,212.355,212.1,212.355,173320.0,AAPL
2025-07-21 15:49:00,212.17999,212.23,212.16141,212.175,96835.0,AAPL
2025-07-21 15:48:00,212.19,212.215,212.13,212.17999,67263.0,AAPL
2025-07-21 15:47:00,212.24001,212.24001,212.14999,212.19,90298.0,AAPL
2025-07-21 15:46:00,212.3,212.30499,212.2,212.23,94368.0,AAPL
2025-07-21 15:45:00,212.355,212.37,212.2735,212.3101,78579.0,AAPL
2025-07-21 15:44:00,212.35001,212.38,212.28999,212.35001,82385.0,AAPL
2025-07-21 15:43:00,212.4512,212.4512,212.33,212.3524,101564.0,AAPL
2025-07-21 15:42:00,212.60001,212.61501,212.455,212.455,110118.0,AAPL
2025-07-21 15:41:00,212.67,212.68,212.605,212.61,50817.0,AAPL
2025-07-21 15:40:00,212.69,212.71001,212.66,212.67999,59737.0,AAPL
2025-07-21 15:39:00,212.69501,212.705,212.67,212.6899,32631.0,AAPL
2025-07-21 15:38:00,212.67889,212.71001,212.675,212.69,50382.0,AAPL
2025-07-21 15:37:00,212.66,212.685,212.62019,212.66,57232.0,AAPL
2025-07-21 15:36:00,212.685,212.705,212.64481,212.67,47716.0,AAPL
2025-07-21 15:35:00,212.64999,212.7186,212.63499,212.6813,68273.0,AAPL
2025-07-21 15:34:00,212.61501,212.68,212.6,212.64999,52692.0,AAPL
2025-07-21 15:33:00,212.625,212.6566,212.57001,212.6225,41843.0,AAPL
2025-07-21 15:32:00,212.655,212.7,212.61501,212.625,67689.0,AAPL
2025-07-21 15:31:00,212.545,212.665,212.53999,212.6544,64787.0,AAPL
2025-07-21 15:30:00,212.58,212.58009,212.5,212.53,108579.0,AAPL
2025-07-22 17:38:00,1.16895,1.16901,1.16881,1.16884,,EUR/USD
2025-07-22 17:37:00,1.16888,1.16892,1.16883,1.16886,,EUR/USD
2025-07-22 17:36:00,1.16889,1.16893,1.1688,1.16887,,EUR/USD
2025-07-22 17:35:00,1.16888,1.16893,1.16883,1.16888,,EUR/USD
2025-07-22 17:34:00,1.1689,1.169,1.16886,1.16897,,EUR/USD
2025-07-22 17:33:00,1.16888,1.16903,1.16883,1.16899,,EUR/USD
2025-07-22 17:32:00,1.16887,1.16891,1.16883,1.16887,,EUR/USD
2025-07-22 17:31:00,1.16892,1.16897,1.16883,1.16886,,EUR/USD
